Data_Status,State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
2023P,AK,ABICB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,6,1,50,8,1,-15,2,4,-1,3,3,107,93,130,165,87,141,84,134,164,165,233,189,14,39,2,-14,-4,0,0,-5,-2,-3,-3,-2,-14,-10,-7,-8,-6,
2023P,AK,ARICB,312,555,489,589,791,878,1646,832,755,969,1817,1969,2168,1622,1637,2114,2107,2396,2081,1372,2053,1767,2443,2283,2910,3220,2476,1705,4635,1819,1782,1718,1750,282,439,548,175,367,431,867,2059,10232,2404,395,1778,1231,329,924,547,10198,12644,14931,14343,12763,12335,12450,12365,13561,4804,11973,12391,13425,12981,
2023P,AK,ARTCB,312,555,489,589,791,878,1646,832,755,969,1817,1969,2168,1622,1637,2114,2107,2396,2081,1372,2053,1767,2443,2283,2910,3220,2476,1705,4635,1819,1782,1718,1750,282,439,548,175,367,431,867,2059,10232,2404,395,1778,1231,329,924,547,10198,12644,14931,14343,12763,12335,12450,12365,13561,4804,11973,12391,13425,12981,
2023P,AK,ARTXB,312,555,489,589,791,878,1646,832,755,969,1817,1969,2168,1622,1637,2114,2107,2396,2081,1372,2053,1767,2443,2283,2910,3220,2476,1705,4635,1819,1782,1718,1750,282,439,548,175,367,431,867,2059,10232,2404,395,1778,1231,329,924,547,10198,12644,14931,14343,12763,12335,12450,12365,13561,4804,11973,12391,13425,12981,
2023P,AK,AVACB,5209,6441,5202,3273,2319,1478,1086,3538,3548,3467,2331,1902,1956,2013,2425,2354,1924,2179,2208,2186,2514,2544,1862,1894,1979,2476,3114,1049,2054,2480,2480,3118,2319,2070,865,1965,716,2053,770,2671,2632,1236,905,790,918,1399,1263,1250,1008,1095,854,801,776,701,658,1308,1240,1239,1264,1245,915,1037,1073,1019
2023P,AK,AVTCB,5209,6441,5202,3273,2319,1478,1086,3538,3548,3467,2331,1902,1956,2013,2425,2354,1924,2179,2208,2186,2514,2544,1862,1894,1979,2476,3114,1049,2054,2480,2480,3118,2319,2070,865,1965,716,2053,770,2671,2632,1236,905,790,918,1399,1263,1250,1008,1095,854,801,776,701,658,1308,1240,1239,1264,1245,915,1037,1073,1019
2023P,AK,AVTXB,5209,6441,5202,3273,2319,1478,1086,3538,3548,3467,2331,1902,1956,2013,2425,2354,1924,2179,2208,2186,2514,2544,1862,1894,1979,2476,3114,1049,2054,2480,2480,3118,2319,2070,865,1965,716,2053,770,2671,2632,1236,905,790,918,1399,1263,1250,1008,1095,854,801,776,701,658,1308,1240,1239,1264,1245,915,1037,1073,1019
2023P,AK,B1ACB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023P,AK,B1TCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2023P,AK,BDACB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,10,19,64,184,249,214,227,183,624,35,302,917,42,1133,865,865,865,865,865,865,
