year,state,property_damage,crop_damage
2018,Vermont,15.00K,0.00K
2018,Vermont,10.00K,0.00K
2018,Kentucky,8.00K,0.00K
2018,Nebraska,100.00K,0.00K
2018,Nebraska,2.00K,0.00K
2018,Iowa,50.00K,0.00K
2018,New York,10.00K,0.00K
2018,New York,20.00K,0.00K
2018,New York,50.00K,0.00K
2018,New York,15.00K,0.00K
2018,New York,20.00K,0.00K
2018,New York,20.00K,0.00K
2018,New York,10.00K,0.00K
2018,New York,25.00K,0.00K
2018,Kentucky,0.00K,0.01K
2018,Kentucky,0.00K,0.01K
2018,Kentucky,50.00K,0.00K
2018,Kentucky,0.10K,0.00K
2018,Tennessee,3.00K,0.00K
2018,Kentucky,30.00K,0.10K
2018,Kentucky,1.00K,0.00K
2018,Kentucky,2.00K,0.00K
2018,Kentucky,0.00K,0.10K
2018,Kentucky,0.10K,0.10K
2018,Texas,10.00K,0.00K
2018,Florida,10.00K,0.00K
2018,Florida,20.00K,0.00K
2018,Ohio,2.00K,0.00K
2018,Ohio,1.00K,0.00K
2018,Ohio,1.00K,0.00K
2018,Ohio,0.50K,0.00K
2018,Ohio,0.50K,0.00K
2018,Ohio,1.00K,0.00K
2018,Kentucky,20.00K,0.00K
2018,Tennessee,1.00K,0.00K
2018,Arkansas,35.00K,0.00K
2018,Ohio,1.00K,0.00K
2018,Ohio,3.00K,0.00K
2018,Ohio,5.00K,0.00K
2018,Kentucky,3.00K,0.00K
2018,Kentucky,3.00K,0.00K
2018,Kentucky,2.00K,0.00K
2018,Kentucky,3.00K,0.00K
2018,Kentucky,5.00K,0.00K
2018,Kentucky,2.00K,0.00K
2018,Kentucky,3.00K,0.00K
2018,Kentucky,5.00K,0.00K
2018,Ohio,1.00K,0.00K
2018,Kentucky,3.00K,0.00K
2018,Rhode Island,1.00K,0.00K
2018,Connecticut,5.00K,0.00K
2018,Massachusetts,10.00K,0.00K
2018,Massachusetts,1.00K,0.00K
2018,Massachusetts,5.00K,0.00K
2018,Massachusetts,5.00K,0.00K
2018,Massachusetts,5.00K,0.00K
2018,Massachusetts,2.00K,0.00K
2018,Massachusetts,3.00K,0.00K
2018,Rhode Island,10.00K,0.00K
2018,Massachusetts,12.00K,0.00K
2018,Massachusetts,25.00K,0.00K
2018,Connecticut,2.00K,0.00K
