year,state,property_damage
2021,Tennessee,10.00K
2021,Tennessee,10.00K
2021,Tennessee,250.00K
2021,Tennessee,50.00K
2021,Tennessee,3.00K
2021,Tennessee,10.00K
2021,Tennessee,15.00K
2021,Tennessee,15.00K
2021,Tennessee,250.00K
2021,Tennessee,2.00M
2021,Tennessee,1.50M
2021,Tennessee,5.00K
2021,Tennessee,5.00K
2021,Tennessee,1.00M
2021,Tennessee,25.00K
2021,Tennessee,1.00M
2021,Tennessee,5.00K
2021,Tennessee,1.50M
2021,Tennessee,250.00K
2021,Tennessee,10.00K
2021,Tennessee,250.00K
2021,Tennessee,10.00K
2021,Tennessee,50.00K
2021,Tennessee,5.00K
2021,Wisconsin,50.00K
2021,Wisconsin,10.00K
2021,Minnesota,95.00K
2021,Minnesota,100.00K
2021,Minnesota,10.00K
2021,Minnesota,65.00K
2021,Minnesota,300.00K
2021,Tennessee,20.00K
2021,Tennessee,5.00K
2021,Tennessee,3.00K
2021,Tennessee,10.00K
2021,Tennessee,3.00K
2021,Tennessee,3.00K
2021,Tennessee,5.00K
2021,Tennessee,3.00K
2021,Tennessee,10.00K
2021,Tennessee,3.00K
2021,Tennessee,2.00K
2021,Tennessee,15.00K
2021,Tennessee,3.00K
2021,Tennessee,10.00K
2021,Tennessee,5.00K
2021,Kentucky,75.00K
2021,Kentucky,20.00K
2021,Mississippi,3.00K
2021,Louisiana,3.00K
2021,Nebraska,45.00K
2021,Louisiana,5.00K
2021,Nebraska,45.00K
2021,Kentucky,15.00K
2021,New York,1.00K
2021,Kentucky,40.00K
2021,Kentucky,0.50K
2021,Mississippi,5.00K
2021,Mississippi,10.00K
2021,Arkansas,5.00K
2021,Mississippi,15.00K
2021,Mississippi,5.00K
2021,Mississippi,2.00K
2021,Arkansas,0.50K
2021,Tennessee,10.00K
2021,Tennessee,20.00K
2021,Tennessee,15.00K
2021,Tennessee,5.00K
2021,Mississippi,2.00K
2021,Massachusetts,1.50K
2021,Massachusetts,1.00K
2021,Tennessee,10.00K
2021,Massachusetts,6.00K
2021,Massachusetts,5.00K
2021,Massachusetts,1.50K
2021,Massachusetts,0.80K
2021,Massachusetts,0.50K
2021,Massachusetts,2.00K
2021,Connecticut,5.00K
2021,Connecticut,25.00K
2021,Massachusetts,0.30K
2021,Massachusetts,2.00K
2021,Connecticut,5.00K
2021,Massachusetts,0.50K
2021,Massachusetts,0.80K
2021,Massachusetts,1.30K
2021,Louisiana,3.00K
2021,Indiana,100.00K
2021,Kentucky,25.00K
2021,Kentucky,20.00K
2021,Kentucky,5.00K
2021,Connecticut,0.80K
2021,Connecticut,1.00K
2021,Connecticut,20.00K
2021,Connecticut,1.60K
2021,Massachusetts,0.80K
2021,Massachusetts,2.00K
2021,Connecticut,30.00K
2021,Rhode Island,0.50K
2021,Massachusetts,1.30K
2021,Massachusetts,0.50K
2021,Alabama,0.50K
2021,Alabama,1.50K
2021,Alabama,1.00K
2021,Alabama,1.00K
2021,Massachusetts,0.50K
2021,Connecticut,0.80K
2021,Alabama,1.00K
2021,Alabama,5.00K
2021,Massachusetts,1.80K
