year,state,property_damage,crop_damage
2019,South Dakota,25.00K,0.00K
2019,South Dakota,5.00K,0.00K
2019,South Dakota,5.00K,0.00K
2019,South Dakota,10.00K,5.00K
2019,Texas,0.20K,0.00K
2019,Texas,0.50K,0.00K
2019,Oklahoma,2.00K,0.00K
2019,Oklahoma,10.00K,0.00K
2019,Texas,30.00K,0.00K
2019,Texas,50.00K,0.00K
2019,Oklahoma,10.00K,0.00K
2019,Louisiana,30.00K,0.00K
2019,Oklahoma,5.00K,0.00K
2019,New York,100.00K,0.00K
2019,Louisiana,25.00K,0.00K
2019,New York,1.00K,0.00K
2019,New York,1.00K,0.00K
2019,New York,2.00K,0.00K
2019,New York,0.50K,0.00K
2019,New York,0.50K,0.00K
2019,New York,2.00K,0.00K
2019,New York,0.50K,0.00K
2019,New York,2.00K,0.00K
2019,New York,0.50K,0.00K
2019,Nebraska,50.00K,0.00K
2019,Nebraska,50.00K,0.00K
2019,Oklahoma,10.00K,0.00K
2019,Oklahoma,5.00K,0.00K
2019,Oklahoma,2.00K,0.00K
2019,Florida,5.00K,0.00K
2019,Florida,5.00K,0.00K
2019,Florida,10.00K,0.00K
2019,Massachusetts,2.00K,0.00K
2019,Massachusetts,1.50K,0.00K
2019,Massachusetts,29.00K,0.00K
2019,Massachusetts,7.50K,0.00K
2019,Louisiana,25.00K,0.00K
2019,Oklahoma,25.00K,0.00K
2019,Wisconsin,1.00K,0.00K
2019,Wisconsin,1.00K,0.00K
2019,Wisconsin,1.00K,0.00K
2019,Wisconsin,1.00K,0.00K
2019,Wisconsin,1.00K,0.00K
2019,Wisconsin,1.00K,0.00K
2019,Wisconsin,2.00K,0.00K
2019,Wisconsin,2.00K,0.00K
2019,Wisconsin,2.00K,0.00K
2019,Wisconsin,1.00K,0.00K
2019,Oklahoma,5.00K,0.00K
2019,New York,0.50K,0.00K
2019,New York,2.00K,0.00K
2019,New York,2.00K,0.00K
2019,New York,2.00K,0.00K
2019,Tennessee,8.72M,0.00K
2019,Tennessee,850.00K,0.00K
2019,Tennessee,900.00K,0.00K
2019,Tennessee,15.20M,0.00K
2019,Wisconsin,3.00K,0.00K
2019,Florida,25.00K,0.00K
2019,Florida,25.00K,0.00K
2019,Florida,15.00K,0.00K
2019,Florida,2.00K,0.00K
2019,Florida,5.00K,0.00K
2019,Florida,10.00K,0.00K
2019,Florida,30.00K,0.00K
2019,Florida,40.00K,0.00K
2019,New York,1.00K,0.00K
2019,New York,1.00K,0.00K
2019,New York,1.00K,0.00K
2019,Tennessee,1.00K,0.00K
2019,Tennessee,2.00K,0.00K
2019,Louisiana,350.00K,0.00K
